timestep,mean_reward,std_reward,hit_rate,other_side_rate,net_rate,wall_time
725000,-2.3336991798949014,12.608049739324008,0.66,0.0,0.39,3389.3
730000,-6.400859605183118,12.829466394950208,0.52,0.0,0.14,3411.3
735000,-3.789575690800325,13.020987046823224,0.67,0.0,0.67,3446.3
740000,-5.113154241092834,11.855338550377793,0.63,0.0,0.33,3476.9
745000,-3.221631608268015,13.175407088231866,0.61,0.0,0.25,3498.5
750000,-5.100205433185644,13.507075850050093,0.54,0.0,0.18,3519.9
755000,-7.518468067753248,13.94771967881024,0.44,0.0,0.24,3542.9
760000,-9.046700262621304,13.645801564517358,0.39,0.0,0.23,3565.7
765000,-6.815481739044615,13.006360134543938,0.5,0.0,0.0,3588.4
770000,-2.793681491459155,13.432196634624706,0.62,0.0,0.19,3610.3
775000,-8.92472493372148,10.33976346076914,0.68,0.0,0.47,3651.7
780000,-1.2484274412171221,13.27027556404785,0.66,0.0,0.26,3676.2
785000,-0.7882512024874029,15.70220510408853,0.61,0.18,0.22,3699.5
790000,-3.440816970135665,13.810363456909784,0.58,0.0,0.36,3722.7
795000,-3.129322812711469,13.486453351707878,0.6,0.0,0.26,3746.3
800000,-0.8938944271411912,14.888060843643537,0.63,0.23,0.0,3768.3
805000,-4.4337936151394235,12.123510351231197,0.61,0.0,0.16,3791.0
810000,1.5438969069940536,16.546303536585015,0.63,0.41,0.0,3812.7
815000,-5.057003783696319,11.240332757174677,0.63,0.0,0.23,3843.9
820000,-2.617606740978819,11.876543197339043,0.67,0.0,0.0,3864.3
825000,-5.154151797905104,11.896025931777574,0.6,0.0,0.21,3889.6
830000,-7.226858410342652,11.467672772419691,0.6,0.0,0.19,3920.8
835000,-4.993957701066024,11.407977484045974,0.64,0.0,0.2,3947.3
840000,-2.8654226435900516,12.228664296450782,0.65,0.0,0.2,3970.5
845000,-0.9503512767217621,15.79794903201528,0.61,0.21,0.4,3996.4
850000,-3.0598716912419017,13.241687574373033,0.61,0.0,0.47,4022.4
855000,-2.023205700686394,12.846184084262099,0.65,0.0,0.65,4048.3
860000,-3.943874671483893,12.399559706276007,0.64,0.0,0.41,4076.2
865000,-4.349237483504228,12.668047157412836,0.61,0.0,0.43,4103.6
870000,-3.342346775918911,13.455841756911546,0.59,0.0,0.22,4124.5
875000,-4.0127888115997115,12.81989989395914,0.59,0.0,0.14,4145.9
880000,-1.8273102087837056,12.871509087935948,0.65,0.0,0.45,4172.4
885000,-4.68972387983492,13.15455709161794,0.56,0.0,0.56,4197.5
890000,-1.5854418399401475,13.377986463362342,0.64,0.0,0.45,4221.5
895000,-4.883999230624112,13.314812703596452,0.54,0.0,0.39,4246.6
900000,-2.055636675831506,12.359295391139232,0.67,0.0,0.41,4272.5
905000,-4.4679541142614685,13.829473078222343,0.64,0.16,0.48,4305.5
910000,-0.6240959924093892,13.8304072390968,0.65,0.0,0.42,4328.9
915000,-4.840374299671358,13.157278238640046,0.55,0.0,0.17,4350.7
920000,-2.8556782212282883,13.611978780096234,0.6,0.0,0.24,4371.0
925000,-0.7955392047438581,13.913307597402172,0.65,0.21,0.0,4392.4
930000,-4.956249657892034,12.815281178075546,0.56,0.0,0.14,4415.2
935000,-4.101144213766656,12.58758345992576,0.6,0.0,0.0,4435.8
940000,-1.6002494369396603,13.23672992604872,0.65,0.0,0.46,4460.5
945000,-3.2294905303269372,16.297086497280752,0.64,0.27,0.37,4493.7
950000,-5.1292664223654585,11.721145471680394,0.6,0.0,0.17,4519.8
955000,-4.099531162855387,12.389761581868038,0.6,0.0,0.23,4542.3
960000,-2.597289996015306,13.182546435503756,0.62,0.0,0.2,4563.4
965000,-3.306190047090094,13.438411751979901,0.59,0.0,0.2,4584.2
970000,-3.9790957197894103,13.724663658558454,0.56,0.0,0.22,4604.8
975000,-10.607770623138741,13.41885617547694,0.49,0.0,0.49,4636.8
980000,-3.7313862080064575,18.884473759723836,0.42,0.42,0.0,4658.6
985000,-8.791775392445125,13.377660638115465,0.4,0.0,0.13,4679.5
990000,-10.306781714006583,13.199153018218734,0.34,0.0,0.19,4700.5
995000,-8.38569952171455,13.273487111754173,0.41,0.0,0.19,4722.1
1000000,-11.65767650158539,11.207730195599986,0.33,0.0,0.15,4745.4
